regn,regn_cbr,is_dead,death_date,closure_type,reason_text,reason_banki,reorg_info
3096,3096,True,,revocation,,отзыв лицензии,
1857,1857,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2570,2570,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2694,2694,True,,revocation,,отзыв лицензии,
3056,3056,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2848,2848,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
223,223,True,,revocation,,отзыв лицензии,
2371,2371,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
1279,1279,True,,revocation,,отзыв лицензии,
2229,2229,True,,revocation,,отзыв лицензии,
787,787,True,,revocation,,отзыв лицензии,
,3458-Д,True,,voluntary,Ликвидация по решению учредителей,решение о ликвидации,-1.0
619,619,True,,revocation,,отзыв лицензии,
1588,1588,True,,revocation,,отзыв лицензии,
1110,1110,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,,-1.0
1554,1554,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2976,2976,True,,revocation,,отзыв лицензии,
1091,1091,True,,voluntary,,решение о ликвидации,
373,373,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
1996,1996,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2667,2667,True,,revocation,,отзыв лицензии,
,3381-К,True,,revocation,Решением суда организация признана банкротом,,-1.0
1265,1265,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3107,3107,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1065,1065,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2979,2979,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2906,2906,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
1995,1995,True,,revocation,,отзыв лицензии,
523,523,True,,revocation,Закрыто налоговой службой из-за отсутствия признаков деятельности,отзыв лицензии,-1.0
2599,2599,True,,revocation,,отзыв лицензии,
2370,2370,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2486,2486,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
3143,3143,True,,revocation,,отзыв лицензии,
2931,2931,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2985,2985,True,,revocation,,отзыв лицензии,
2128,2128,True,,revocation,,отзыв лицензии,
338,338,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2455,2455,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,1.0
2173,2173,True,,voluntary,,решение о ликвидации,
157,157,True,,revocation,,отзыв лицензии,
2033,2033,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
450,450,True,,reorganisation,Реорганизация путем преобразования,отзыв лицензии,-1.0
2064,2064,True,,revocation,,отзыв лицензии,
582,582,True,,revocation,,отзыв лицензии,
1803,1803,True,,revocation,,отзыв лицензии,
1134,1134,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
2924,2924,True,,revocation,,отзыв лицензии,
569,569,True,,voluntary,,решение о ликвидации,
3179,3179,True,,revocation,,отзыв лицензии,
1069,1069,True,,revocation,,отзыв лицензии,
2226,2226,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
3026,3026,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2661,2661,True,,revocation,,отзыв лицензии,
1424,1424,True,,revocation,,отзыв лицензии,
1075,1075,True,,revocation,Решением суда организация признана банкротом,отзыв лицензии,-1.0
2552,2552,True,,reorganisation,Реорганизация путем присоединения,решение о ликвидации,-1.0
1756,1756,True,,voluntary,Ликвидация по решению суда в связи с нарушением правовых норм,отзыв лицензии,-1.0
2323,2323,True,,revocation,,отзыв лицензии,
